,City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
373,Pontianak,-0.03,109.33,299.15,88,75,1.58,ID,1586997785
374,Gravdal,68.12,13.5,275.43,78,98,5.73,NO,1586997785
375,Pishin,30.58,67.0,287.65,27,100,0.53,PK,1586997786
376,Lanzhou,36.06,103.79,280.15,28,25,4.0,CN,1586997713
377,Nishihara,26.18,127.76,294.15,60,20,4.6,JP,1586997786
378,Cayenne,4.93,-52.33,298.15,88,20,2.54,GF,1586997783
379,Penzance,50.12,-5.54,284.26,76,1,10.3,GB,1586997575
380,Herat Province,34.5,62.0,284.12,40,0,1.33,AF,1586997787
381,Kondinskoye,59.65,67.41,272.76,96,8,2.26,RU,1586997787
382,New Glasgow,45.58,-62.65,277.04,90,99,0.3,CA,1586997787
383,Arlit,18.74,7.39,301.32,12,28,1.33,NE,1586997788
384,Karratha,-20.74,116.85,302.07,59,79,3.97,AU,1586997397
385,Basco,20.45,121.97,296.3,84,85,8.23,PH,1586997788
386,Chapais,49.78,-74.85,267.15,44,1,3.6,CA,1586997448
387,Dánszentmiklós,47.21,19.55,280.37,52,0,2.1,HU,1586997789
388,George Town,5.41,100.34,299.15,94,20,2.1,MY,1586997424
389,Cockburn Town,21.46,-71.14,299.05,82,0,7.46,TC,1586997428
390,Świnoujście,53.91,14.25,281.48,74,7,3.6,PL,1586997789
391,Wilson,36.15,-86.28,287.59,30,1,2.1,US,1586997790
392,North Bend,43.41,-124.22,289.26,87,90,6.7,US,1586997790
393,Poum,-20.23,164.02,299.27,76,16,5.98,NC,1586997790
394,Dingle,11.0,122.67,301.47,71,88,3.48,PH,1586997664
395,Bintulu,3.17,113.03,299.15,94,75,1.54,MY,1586997790
396,Hasaki,35.73,140.83,286.48,66,75,8.2,JP,1586997545
397,Sakakah,29.97,40.21,288.15,77,43,1.5,SA,1586997791
398,Palmares do Sul,-30.26,-50.51,291.75,54,77,5.66,BR,1586997791
399,Bousso,10.48,16.71,301.89,13,0,2.74,TD,1586997792
400,Harper,4.38,-7.72,300.36,82,100,1.4,LR,1586997792
401,Portland,45.52,-122.68,293.15,39,75,4.1,US,1586997226
402,Barre,44.2,-72.5,276.48,63,20,1.5,US,1586997793
403,Rundu,-17.93,19.77,294.15,73,27,1.5,NA,1586997793
404,Fare,-16.7,-151.02,302.06,64,16,3.21,PF,1586997793
405,Putina,-15.47,-69.43,279.28,28,29,4.91,PE,1586997793
406,Hay River,60.82,-115.8,273.15,88,75,5.7,CA,1586997727
407,Marabá,-5.37,-49.12,299.15,100,75,0.22,BR,1586997719
408,Dongxing,45.37,130.8,281.83,42,0,2.84,CN,1586997794
409,Aketi,2.74,23.78,297.48,63,20,0.36,CD,1586997794
410,Mackay,-21.15,149.2,299.26,74,75,5.7,AU,1586997794
411,Hampton,37.03,-76.35,283.15,61,1,1.56,US,1586997795
412,Keti Bandar,24.14,67.45,298.89,77,18,4.81,PK,1586997795
413,George Town,5.41,100.34,299.15,94,20,2.1,MY,1586997787
414,Markova,48.68,24.41,276.91,63,70,3.87,UA,1586997796
415,Laurens,32.45,-82.92,291.15,67,1,2.1,US,1586997796
416,Mana,5.66,-53.78,297.64,80,2,2.55,GF,1586997796
417,Punta de Piedra,7.62,-71.49,300.52,45,16,0.78,VE,1586997796
418,Tilichiki,60.47,166.1,267.45,95,26,2.49,RU,1586997744
419,Nabire,-3.37,135.48,298.59,85,100,1.15,ID,1586997774
420,Cururupu,-1.83,-44.87,298.01,90,100,1.24,BR,1586997797
421,Atambua,-9.11,124.89,296.86,83,100,0.72,ID,1586997797
422,Kulhudhuffushi,6.62,73.07,302.79,65,88,2.79,MV,1586997652
423,Jalu,29.03,21.55,296.58,32,68,3.21,LY,1586997798
424,Haines Junction,60.75,-137.51,279.82,66,99,3.06,CA,1586997504
425,Catuday,16.29,119.81,299.72,75,86,3.69,PH,1586997798
426,Coyhaique,-45.58,-72.07,286.15,87,75,1.5,CL,1586997798
427,Adrar,20.5,-10.07,300.67,35,9,4.95,MR,1586997677
428,Kristiansund,63.11,7.73,276.15,71,82,14.4,NO,1586997799
429,Pahrump,36.21,-115.98,298.15,11,1,6.7,US,1586997799
430,Katsuura,35.13,140.3,288.15,76,75,7.7,JP,1586997623
431,Stary Sącz,49.56,20.64,280.93,60,4,5.1,PL,1586997800
432,Santa Cruz de la Sierra,-17.8,-63.17,297.15,47,75,1.5,BO,1586997473
433,Reconquista,-29.15,-59.65,288.38,49,0,1.91,AR,1586997800
434,Vila do Maio,15.13,-23.22,295.15,68,20,6.2,CV,1586997800
435,Kamenka,51.32,42.77,273.71,87,79,1.79,RU,1586997661
436,Winsum,53.33,6.52,279.82,93,90,2.1,NL,1586997801
437,Ferme-Neuve,46.7,-75.45,270.94,89,98,1.66,CA,1586997706
438,Chippenham,51.46,-2.12,282.15,52,0,4.1,GB,1586997801
439,Monte Escobedo,22.3,-103.58,296.01,8,2,7.72,MX,1586997802
440,Lárdos,36.09,28.02,289.15,87,75,6.7,GR,1586997802
441,Wasilla,61.58,-149.44,282.04,87,90,1.5,US,1586997802
442,La Ligua,-32.45,-71.23,287.15,87,100,2.1,CL,1586997802
443,Brora,58.01,-3.85,283.15,76,82,3.6,GB,1586997803
444,Manitouwadge,49.12,-85.84,267.77,92,92,2.48,CA,1586997803
445,Charters Towers,-20.1,146.27,298.47,54,3,3.43,AU,1586997803
446,Flin Flon,54.77,-101.86,271.51,91,100,4.28,CA,1586997803
447,Port Hueneme,34.15,-119.2,298.15,49,1,4.1,US,1586997804
448,Rudnogorsk,57.26,103.75,276.92,67,0,0.84,RU,1586997804
449,Altay,47.87,88.12,279.51,39,86,3.38,CN,1586997691
450,Kangaatsiaq,68.31,-53.46,272.78,94,97,7.56,GL,1586997804
451,Kushiro,42.98,144.37,277.15,51,75,7.7,JP,1586997804
452,Sambava,-14.27,50.17,296.79,85,11,3.71,MG,1586997805
453,Taltal,-25.4,-70.48,290.13,74,100,1.13,CL,1586997805
454,Morón,-34.65,-58.62,289.26,76,0,1.0,AR,1586997805
455,Xiangfan,32.04,112.14,292.99,69,33,0.71,CN,1586997805
456,Palora,-1.7,-77.93,293.5,70,98,0.79,EC,1586997806
457,Nayoro,44.35,142.46,276.15,55,75,2.1,JP,1586997806
458,Gold Coast,-28.0,153.43,300.93,54,0,5.1,AU,1586997806
459,San Sebastian,43.31,-1.98,292.15,52,73,4.1,ES,1586997806
460,Sherpur,25.02,90.02,294.8,87,59,3.06,BD,1586997807
461,Kumul,42.8,93.45,290.47,26,100,8.17,CN,1586997807
462,Longjiang,47.33,123.18,279.82,70,100,1.34,CN,1586997807
463,Lokomotivnyy,53.01,60.57,279.77,58,100,6.5,RU,1586997807
464,Maltahöhe,-24.83,16.98,288.44,17,0,4.01,NA,1586997808
465,Brae,60.4,-1.35,280.15,75,78,5.7,GB,1586997808
466,Shingū,33.73,135.98,290.15,42,83,2.6,JP,1586997798
467,Dyurtyuli,55.49,54.87,283.44,64,100,10.13,RU,1586997808
468,Paamiut,61.99,-49.67,272.98,95,100,5.25,GL,1586997688
469,Te Anau,-45.42,167.72,284.46,57,44,3.76,NZ,1586997809
470,Entre Rios,-11.94,-38.08,295.87,91,49,1.5,BR,1586997809
471,Aktash,50.3,87.73,268.9,48,55,1.68,RU,1586997809
472,Aleksinac,43.54,21.71,276.15,64,0,1.5,RS,1586997809
473,San Patricio,19.22,-104.7,299.15,83,20,5.1,MX,1586997454
474,Marsá Maţrūḩ,31.35,27.25,290.61,81,23,8.18,EG,1586997810
475,Livingston,55.9,-3.52,280.93,93,72,0.5,GB,1586997810
476,Impfondo,1.64,18.07,299.11,61,100,0.4,CG,1586997811
477,Khandagayty,50.73,92.05,274.18,54,78,0.58,RU,1586997811
478,Ozernovskiy,51.5,156.52,273.57,88,100,4.97,RU,1586997811
479,Mamlyutka,54.94,68.54,277.34,86,64,3.95,KZ,1586997811
480,Pucallpa,-8.38,-74.55,301.05,66,93,1.26,PE,1586997812
481,Nanortalik,60.14,-45.24,275.08,94,100,5.95,GL,1586997438
482,Nanzhang,31.78,111.84,293.93,62,8,1.34,CN,1586997812
483,Karaton,-6.34,106.1,300.93,83,20,1.0,ID,1586997812
484,Kemijärvi,66.71,27.43,269.0,95,98,2.41,FI,1586997813
485,Gigmoto,13.78,124.39,300.58,81,63,4.55,PH,1586997813
486,Pemangkat,1.17,108.97,299.29,84,100,2.24,ID,1586997813
487,Bānkura,23.25,87.07,297.21,83,0,2.08,IN,1586997813
488,Bay Roberts,47.6,-53.26,275.37,100,90,2.87,CA,1586997556
489,Olafsvik,64.89,-23.71,275.15,81,58,3.88,IS,1586997583
490,Smithers,54.78,-127.17,289.15,21,40,1.5,CA,1586997543
491,Norden,53.6,7.2,280.93,86,39,1.0,DE,1586997814
492,Manokwari,-0.87,134.08,301.83,65,58,0.44,ID,1586997815
493,San Jose,37.34,-121.89,301.48,34,40,4.6,US,1586997726
494,Sesheke,-17.48,24.3,291.15,100,32,0.5,ZM,1586997815
495,Pisco,-13.7,-76.22,297.15,69,0,4.6,PE,1586997383
496,Río Tercero,-32.17,-64.11,288.22,47,17,1.83,AR,1586997815
497,São João da Barra,-21.64,-41.05,298.13,89,98,2.57,BR,1586997801
498,Weymouth,42.22,-70.94,280.93,24,20,6.2,US,1586997816
499,Tungor,53.38,142.96,273.31,95,46,3.05,RU,1586997816
500,Makkah al Mukarramah,21.43,39.83,290.51,55,0,1.81,SA,1586997666
501,Nānākuli,21.39,-158.15,301.15,57,75,5.1,US,1586997803
502,Porangatu,-13.44,-49.15,294.53,87,100,1.35,BR,1586997817
503,Sur,22.57,59.53,299.14,70,97,5.02,OM,1586997486
504,Brownsville,25.9,-97.5,294.15,60,90,4.6,US,1586997719
505,Araouane,18.9,-3.53,295.68,55,13,1.29,ML,1586997817
506,Hilton Head,32.22,-80.75,287.59,82,75,4.1,US,1586997795
507,Kingston,18.0,-76.79,301.15,74,20,8.2,JM,1586997756
508,Victoria Point,-27.58,153.3,300.93,57,20,6.2,AU,1586997731
509,Chifeng,42.27,118.96,281.82,49,100,4.75,CN,1586997183
510,São Sebastião,-23.76,-45.41,295.65,75,100,1.43,BR,1586997819
511,Soloneshnoye,51.65,84.32,275.73,66,23,2.6,RU,1586997819
512,Hervey Bay,-25.3,152.85,299.82,54,15,3.1,AU,1586997819
513,Cabra,37.47,-4.44,287.59,93,2,1.5,ES,1586997820
514,Clifton,40.86,-74.16,284.15,26,1,1.5,US,1586997612
515,Beloyarskiy,63.71,66.67,274.14,94,100,2.79,RU,1586997820
516,Vila Franca do Campo,37.72,-25.43,286.15,76,20,4.6,PT,1586997369
517,Faya,18.39,42.45,288.15,93,20,1.44,SA,1586997821
518,Bonthe,7.53,-12.51,300.71,81,68,1.34,SL,1586997808
519,Tomatlán,19.93,-105.25,300.47,37,49,3.82,MX,1586997821
520,Port Keats,-14.25,129.55,301.29,64,99,2.98,AU,1586997821
521,Vestmannaeyjar,63.44,-20.27,277.2,74,82,4.94,IS,1586997821
522,Burley,42.54,-113.79,286.15,75,75,5.7,US,1586997802
523,Kimbe,-5.55,150.14,304.29,64,64,0.81,PG,1586997822
524,Manzhouli,49.6,117.43,280.88,41,65,1.49,CN,1586997545
525,Kintampo,8.06,-1.73,300.15,64,44,2.57,GH,1586997823
526,Quelimane,-17.88,36.89,297.54,95,3,1.97,MZ,1586997823
527,Warri,5.52,5.75,299.76,89,63,1.73,NG,1586997823
528,Amos,48.57,-78.12,270.15,42,40,2.6,CA,1586997824
529,Rio Grande,-32.03,-52.1,290.93,73,83,2.24,BR,1586997762
530,Jingdezhen,29.29,117.21,291.92,60,3,2.12,CN,1586997824
531,Aksu,41.12,80.26,290.46,23,100,2.16,CN,1586997824
532,Rabat,33.99,-6.84,288.15,93,54,2.1,MA,1586997825
533,Shelburne,44.08,-80.2,273.71,42,20,3.6,CA,1586997693
534,Maceió,-9.67,-35.74,299.15,88,19,2.6,BR,1586997617
535,Myjava,48.76,17.57,278.15,70,1,1.5,SK,1586997825
536,Litovko,49.24,135.17,282.21,47,0,1.83,RU,1586997826
537,Grand Gaube,-20.01,57.66,297.04,85,11,2.68,MU,1586997826
538,Kapit,2.02,112.93,299.58,83,88,0.57,MY,1586997826
539,Øksfjord,70.24,22.35,274.15,74,89,6.2,NO,1586997827
540,Tabou,4.42,-7.35,299.99,85,98,1.62,CI,1586997827
541,Alofi,-19.06,-169.92,302.15,70,40,4.1,NU,1586997538
542,Altea,38.6,-0.05,289.26,93,20,1.0,ES,1586997827
543,San Quintín,30.48,-115.95,293.3,51,0,5.37,MX,1586997556
544,Batagay,67.63,134.63,256.17,86,100,4.51,RU,1586997828
545,Östersund,63.18,14.64,274.15,80,32,5.7,SE,1586997637
546,Shenandoah,30.4,-91.0,291.48,39,1,3.4,US,1586997828
547,Bellmead,31.59,-97.11,290.37,42,5,2.1,US,1586997829
548,Blatec,41.84,22.58,274.82,83,5,2.68,MK,1586997829
549,Bud,39.45,-86.18,278.15,47,1,4.6,US,1586997829
550,Svirsk,53.09,103.33,278.32,55,0,2.41,RU,1586997829
551,Fenoarivo,-18.93,47.44,289.02,62,48,3.6,MG,1586997830
552,Vadinsk,53.69,43.06,274.07,84,43,6.53,RU,1586997830
553,Kenitra,34.26,-6.58,288.15,93,49,2.1,MA,1586997830
554,Tarauacá,-8.16,-70.77,297.0,89,78,1.53,BR,1586997830
555,Alenquer,-1.94,-54.74,297.15,100,75,1.0,BR,1586997831
556,Guaíra,-20.32,-48.31,293.79,79,100,1.78,BR,1586997831
557,Hârtieşti,45.12,25.1,273.15,80,11,2.32,RO,1586997831
558,Beisfjord,68.38,17.6,272.15,100,81,7.2,NO,1586997831
559,Orotukan,62.27,151.7,263.08,85,51,1.05,RU,1586997832
560,Hambantota,6.12,81.12,299.88,79,56,2.85,LK,1586997832
561,Ust-Maya,60.42,134.53,268.4,88,98,3.51,RU,1586997833
562,Iquique,-20.22,-70.14,294.15,60,4,5.7,CL,1586997833
563,Ucluelet,48.93,-125.55,288.15,62,5,3.6,CA,1586997616
564,Omboué,-1.57,9.26,300.14,88,100,2.59,GA,1586997833
565,Kosovo Polje,42.64,21.1,275.37,69,1,0.5,XK,1586997833
566,Pacific Grove,36.62,-121.92,298.15,68,1,3.6,US,1586997834
567,Galveston,29.37,-94.97,293.71,45,1,3.6,US,1586997834
568,Hongjiang,27.11,110.0,293.95,68,30,3.1,CN,1586997834
569,Suntar,62.14,117.63,269.53,90,100,3.53,RU,1586997834
570,Aldan,58.6,125.39,271.95,77,99,2.36,RU,1586997835
571,Lixouri,38.2,20.43,283.71,62,2,3.13,GR,1586997835
572,Sibut,5.72,19.07,299.12,61,46,1.54,CF,1586997835
573,Mehamn,71.04,27.85,272.0,94,17,6.29,NO,1586997835
574,Gizo Government Station,-8.1,156.84,303.81,65,95,0.39,SB,1586997835
575,Catumbela,-12.43,13.55,298.53,83,51,0.49,AO,1586997836
576,Osa,57.28,55.46,281.31,83,100,8.72,RU,1586997836
577,Portmore,17.97,-76.87,301.15,74,20,8.2,JM,1586997836
